UEName	Latitude	Longitude
UE2501	63.58627082899811	39.50650636529726
UE2502	61.47285025229738	28.42228880224521
UE2503	69.22748673378916	34.329181319169216
UE2504	64.91114101216498	26.89125323796134
UE2505	66.15250155911487	22.67973014159878
UE2506	61.39903531193505	28.67862900293159
UE2507	58.88887199572703	34.67025562060992
UE2508	69.16655367989675	14.08460928548671
UE2509	64.72544085755987	22.395759387452195
UE2510	66.08989968947242	47.09772686592045
UE2511	72.716982251865	29.687503065924492
UE2512	65.80426549381158	22.75688466449564
UE2513	68.07068213641554	34.20220807828742
UE2514	73.66043880788357	30.322671047322878
UE2515	72.87174604562108	23.646326440575482
UE2516	67.25159760428747	22.371672243352194
UE2517	61.10151117030205	24.044814624404204
UE2518	69.69976223987479	49.794728132396756
UE2519	64.39334887408623	32.288237358504915
UE2520	67.5563819404878	33.850069061735404
UE2521	67.01397422733784	34.1326664692993
UE2522	69.5480659689957	27.656936880036074
UE2523	70.56775400034722	42.23739147918097
UE2524	66.4223832498536	36.852629393500436
UE2525	65.84336556977259	34.15474559738458
UE2526	65.64534566376761	36.372925948805374
UE2527	72.43685244984184	49.04221523601644
UE2528	70.67062544287435	51.68548687636135
UE2529	69.14064002057873	26.077173511533644
UE2530	66.00136909832285	34.68184810046886
UE2531	68.48616453936611	35.12636937530259
UE2532	68.31685301191766	34.52847152765851
UE2533	64.07333841534572	35.6392920116806
UE2534	67.74661467751443	35.23507787015357
UE2535	66.54034224379951	27.083352520721036
UE2536	68.40418103322605	11.32527102022053
UE2537	67.72220506833959	46.26414609540971
UE2538	61.09586302016036	25.95681757526195
UE2539	68.17492963586388	36.880440968125555
UE2540	66.64131118583191	40.034504371554526
UE2541	73.17503578886826	15.187698927025014
UE2542	64.2151736629829	32.149969212132746
UE2543	71.54291491793148	22.187225297628675
UE2544	67.27955397273436	57.191714256421676
UE2545	64.80524585308748	44.5075859976646
UE2546	64.84255051191789	35.47754428645675
UE2547	62.80008405196199	35.61018838932961
UE2548	68.02982116973725	34.29066919059404
UE2549	68.28843579183827	36.1023699908933
UE2550	67.57837648801532	34.17498632176483
UE2551	71.7744918612262	14.86930433089989
UE2552	61.786550641555735	30.140247898189067
UE2553	65.95235127024031	39.762630574414686
UE2554	65.57010926938213	33.73282714402326
UE2555	65.24765286002102	48.52634143125241
UE2556	68.62907069371482	12.313032770173514
UE2557	64.85752447932921	34.37817176180438
UE2558	70.07550001239522	30.511897603703698
UE2559	61.565378248233216	23.071155967100623
UE2560	59.5498020217951	32.895190283483316
UE2561	64.35893582089736	15.68658636858705
UE2562	64.91178710906979	34.15701318637548
UE2563	68.42213587250455	32.655299754302135
UE2564	68.82487417211425	44.35134676188393
UE2565	70.14973274028009	33.01008748972613
UE2566	69.29129836519904	13.201503297118101
UE2567	67.74918774617908	33.64480611148916
UE2568	61.880847434479804	35.59963033771752
UE2569	70.56172263634593	13.0790105100455
UE2570	63.260459660492245	52.78074066447043
UE2571	67.26209161750899	19.134670671810564
UE2572	71.78675398461958	55.75154477782101
UE2573	67.29357336369759	35.95429895247017
UE2574	64.48192886755913	36.80793109715788
UE2575	67.50559961368893	34.493328681217506
UE2576	60.3347550967154	45.921446726249656
UE2577	69.69885707103505	12.798538488624239
UE2578	67.5281214147597	34.966837037193415
UE2579	67.53462344825795	33.885133914326396
UE2580	70.43082098689749	38.69587742435565
UE2581	67.65577934884598	28.238503389446738
UE2582	68.3143587783387	14.135071028283221
UE2583	66.35290823841524	36.385864528404625
UE2584	65.36381201509988	17.369078513194513
UE2585	71.65465804791268	26.274323603354794
UE2586	68.37264897312357	25.571321617642063
UE2587	66.51698154515431	36.39126175477047
UE2588	58.62116237099996	36.0036773318494
UE2589	67.9106266159061	19.704563249471946
UE2590	66.20894648474912	43.75488482457049
UE2591	68.42771877395762	25.75502432005829
UE2592	62.80409496822715	50.119007434967614
UE2593	68.97174713467466	14.74180463414504
UE2594	73.34613679507399	47.541453937525056
UE2595	72.78598602909781	39.44346865608622
UE2596	75.49679527799515	33.847754832901614
UE2597	69.28181246848683	28.76219739718545
UE2598	71.74319565497821	20.70277495439838
UE2599	70.96733914378942	30.96289800837226
UE2600	62.486360433589226	38.70581571070238
UE2601	64.061723612382	54.54629834664676
UE2602	72.42579139653577	56.03301689796825
UE2603	62.94245982465857	34.23337855674418
UE2604	67.94685205450597	47.866718069025794
UE2605	74.619351010813	22.32589812124199
