UEName	Latitude	Longitude
UE4540	68.33446017488424	34.32420960209358
UE4541	75.97405158326733	25.6540824471685
UE4542	59.288315755539045	29.187174129795302
UE4543	64.21150948751176	29.027015689549483
UE4544	63.59970248307696	28.1055670122246
UE4545	62.399230852960926	30.69640323604323
UE4546	66.80916701476394	40.378773487058965
UE4547	73.45618225532849	30.545997423953768
UE4548	62.689933129624855	24.84396305579557
UE4549	64.96921371624006	24.49995353796906
UE4550	66.2655481308155	35.23141547881941
UE4551	64.38241127023963	53.09023175494984
UE4552	68.484671952285	35.41533059969234
UE4553	63.83765560952202	44.68151201224997
UE4554	67.93926292824158	36.508647366835106
UE4555	66.8271887104161	31.477875070979106
UE4556	67.67310640396393	33.97628991944458
UE4557	66.289302056213	41.98275268073289
UE4558	64.22726734781071	45.79893007571515
UE4559	64.97549590260591	24.582866884235216
UE4560	70.52929248461035	49.05961005446082
UE4561	72.81868929318388	25.512859961210903
UE4562	66.69734711029253	36.70659282746062
UE4563	67.95161450927559	35.122510859317416
UE4564	69.51100877491996	48.68102913330219
UE4565	72.72128155496443	26.219804545183457
UE4566	67.10902027941881	47.22075295743786
UE4567	66.31524642080423	29.637291036354426
UE4568	70.66510369266913	52.81043409557451
UE4569	67.76482042015402	35.99240357977065
UE4570	71.26461453210536	22.106996324660116
UE4571	68.16905600268996	36.635687706575744
UE4572	73.35176575115875	36.71107951110299
UE4573	63.793754459331595	34.24438390710089
UE4574	71.11797557919121	19.069077382035438
UE4575	67.32134342474788	35.38699024753651
UE4576	70.6698567413493	45.19075924316979
UE4577	68.83035259658632	33.90967786850111
UE4578	64.26238615537387	21.61794687303099
UE4579	68.159616345105	31.98029521958691
UE4580	67.53968388123485	32.58468963205628
UE4581	64.7970807710297	19.974019267881275
UE4582	67.11077135210635	35.28063171658942
UE4583	66.56801086155767	38.829813206456905
UE4584	65.00287451203039	16.98589506890131
UE4585	65.05559575954086	17.28103674708595
UE4586	74.65928331229658	25.468711297234492
UE4587	64.85536305870329	31.435156396461718
UE4588	65.82079946137782	45.46564635178805
UE4589	60.614420687112236	35.23622448716782
UE4590	66.59897702249275	32.285324913227754
UE4591	61.57972512240703	40.36706577587421
UE4592	67.74818960995725	32.08013803303567
UE4593	60.20308493497163	25.960670451159498
UE4594	73.23911897748904	35.48082593979014
UE4595	63.47177812548076	30.10626816383242
UE4596	64.44206758809187	26.804120603243533
UE4597	68.9256020762569	32.016421648733626
UE4598	64.8344014982172	38.07075394779977
UE4599	61.574413541534256	28.138730825151555
UE4600	62.737977760549356	35.96357702643608
UE4601	62.87089955215929	32.256994007934054
UE4602	69.12453998853576	36.3241733900958
UE4603	72.11269016482419	22.133812926679916
UE4604	70.42689632611135	28.71156352112879
UE4605	65.97069307242703	33.11442081948753
UE4606	59.467363951293166	28.52949621794058
UE4607	71.72201491998106	39.43179442483584
UE4608	63.53910426155292	28.175996282796056
UE4609	59.37108893166037	41.73399293332531
UE4610	66.4994840129923	26.328522158442418
UE4611	75.42465956127836	44.11380393472999
UE4612	65.3128531120968	19.724035753328003
UE4613	65.63495711846525	47.791680509008536
UE4614	66.26408632713193	30.053894608899487
UE4615	67.21397178828313	33.452307982842534
UE4616	67.78516376738656	44.61974245261951
UE4617	67.45508983737491	34.39684621379582
UE4618	67.85984579491279	32.86076134860488
UE4619	63.141999718450876	27.030433149454502
UE4620	73.22726240490758	43.74364785112144
UE4621	66.12431219487893	35.61489948299325
UE4622	64.36176805624167	48.46094413992756
UE4623	61.44225779278475	20.392155668953777
UE4624	62.197073551157246	24.877433758635945
UE4625	74.55167032926298	36.02831052172816
UE4626	62.37323388917506	25.817937471708724
UE4627	67.26448503145687	29.11872644676131
UE4628	67.69950648565995	25.8234874399824
